127.0.0.1 - - [01/Apr/2022:00:06:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:06:19 +0900] "GET /toy/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:06:21 +0900] "GET /toy/product/list HTTP/1.1" 200 12363
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:06:21 +0900] "GET /resources/css/list_style.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:20 +0900] "GET /toy/product/detail/1 HTTP/1.1" 200 8276
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:20 +0900] "GET /toy/img/toffee.jpeg HTTP/1.1" 200 188576
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:20 +0900] "GET /toy/img/musinsa_logo.png HTTP/1.1" 200 13933
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:20 +0900] "GET /toy/img/musinsa_banner.png HTTP/1.1" 200 296265
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:21 +0900] "GET /toy/product/list HTTP/1.1" 200 12353
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:21 +0900] "GET /css/list_style.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:07:21 +0900] "GET /toy/css/navbar_style.css HTTP/1.1" 200 4734
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:08:19 +0900] "GET /toy/product/list HTTP/1.1" 200 12367
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:08:19 +0900] "GET /toy/resources/css/list_style.css HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:08:42 +0900] "GET /toy/product/list HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [01/Apr/2022:00:08:54 +0900] "GET /toy/product/detail/23 HTTP/1.1" 200 8276
